lat,lon,time,H1000,H850,PBLTOP,PS,SLP,T10M,T2M,T2MDEW,T850,TS,U10M,U2M,U50M,V10M,V2M,V50M
48.0,5.0,2014-01-02 00:30:00,20.685482,1354.3416,93211.16,96458.53,100246.67,280.02502,279.79474,278.77875,276.26978,279.2811,1.5999506,1.1032233,2.621348,10.742652,7.406332,14.370649
48.0,5.0,2014-01-02 01:30:00,16.85877,1349.7764,93166.45,96416.555,100200.93,279.85663,279.66052,278.71542,276.0534,279.20667,1.9104412,1.318999,2.9242063,10.954296,7.5629416,14.42797
48.0,5.0,2014-01-02 02:30:00,12.448971,1345.7848,93117.06,96368.39,100148.195,279.86563,279.67557,278.71304,276.06635,279.27545,2.2711048,1.5681646,3.3849826,10.744093,7.4177833,14.078524
48.0,5.0,2014-01-02 03:30:00,10.354322,1343.9996,90394.25,96343.2,100123.28,280.1741,279.96588,278.84958,276.10507,279.54578,2.930562,2.0221581,4.424261,10.514368,7.255216,13.959464
48.0,5.0,2014-01-02 04:30:00,15.043798,1346.9076,88095.58,96380.12,100180.016,280.37833,280.15762,278.9829,275.73972,279.6614,4.3677235,3.011378,6.3276567,9.724787,6.7061152,12.91302
48.0,5.0,2014-01-02 05:30:00,22.32891,1352.6167,86908.34,96447.04,100268.53,280.2719,280.05295,279.04868,274.9572,279.55765,4.881173,3.3601928,7.0591745,8.412746,5.793174,11.290243
48.0,5.0,2014-01-02 06:30:00,26.840792,1356.4857,87757.55,96494.63,100323.69,280.26746,280.0087,279.11957,274.31293,279.41782,5.1711693,3.5506282,7.4800587,7.8282876,5.376106,10.50864
48.0,5.0,2014-01-02 07:30:00,30.597769,1359.3726,90337.56,96537.18,100369.43,280.1087,279.7753,279.06177,273.6831,279.02414,5.0859766,3.4660118,7.51789,6.6022387,4.5010347,9.105333
48.0,5.0,2014-01-02 08:30:00,36.512993,1363.4518,87981.34,96599.125,100441.26,280.3892,280.14886,279.19327,273.36954,279.74365,5.7263274,3.9270077,8.351878,6.242467,4.2799864,8.457674
48.0,5.0,2014-01-02 09:30:00,42.52223,1368.0094,89423.65,96671.58,100514.05,280.67896,280.58386,279.39465,273.1258,280.45215,6.613909,4.5755434,9.019898,5.69296,3.9374256,7.3599586
48.0,5.0,2014-01-02 10:30:00,47.695724,1374.2473,90883.81,96734.48,100576.69,281.26428,281.24118,279.80927,273.42188,281.30457,6.3226094,4.3913198,8.503443,4.8554487,3.3723073,6.1544037
48.0,5.0,2014-01-02 11:30:00,50.165928,1378.3708,89710.25,96764.21,100606.375,282.10733,282.1468,280.01874,274.0874,282.3551,6.713272,4.6815815,8.940217,4.3631115,3.0416238,5.465122
48.0,5.0,2014-01-02 12:30:00,52.71786,1381.8838,87538.51,96791.42,100636.97,282.52832,282.55676,279.86432,274.1561,282.6399,6.4015794,4.4625006,8.421431,4.044455,2.8194451,5.1366353
48.0,5.0,2014-01-02 13:30:00,56.19964,1385.7173,91421.336,96835.02,100679.4,282.5102,282.43677,279.92126,274.17334,282.19678,5.5463142,3.8363166,7.4896226,3.7221043,2.5735617,4.9055495
48.0,5.0,2014-01-02 14:30:00,63.30912,1392.2592,91353.56,96911.75,100766.4,282.07364,281.86072,279.95886,274.20486,281.27997,4.832807,3.2836933,7.134255,3.3414922,2.270812,4.808091
48.0,5.0,2014-01-02 15:30:00,70.02996,1398.1497,90581.39,96992.98,100848.92,281.21832,280.8396,279.5241,274.03644,279.94147,4.120525,2.7093158,7.015684,2.8618236,1.8802981,4.7281456
48.0,5.0,2014-01-02 16:30:00,75.635506,1403.0156,89012.16,97056.18,100917.3,280.34097,279.8692,279.09625,273.77347,278.98145,3.557123,2.2790663,6.543392,2.8506794,1.8230244,5.141063
48.0,5.0,2014-01-02 17:30:00,77.83795,1405.5848,93530.92,97085.77,100943.17,279.2948,278.70148,278.72968,273.7193,277.60452,2.6815786,1.6625457,5.3243055,3.1555643,1.9383507,6.2112026
48.0,5.0,2014-01-02 18:30:00,77.1066,1406.0774,86072.67,97080.41,100932.36,278.70874,278.0947,278.5966,273.83813,277.07556,2.0309098,1.2630576,4.119265,3.872817,2.4018843,7.588887
48.0,5.0,2014-01-02 19:30:00,75.33228,1405.735,95417.41,97067.2,100909.27,278.85248,278.34158,278.5847,274.0871,277.43854,1.8017966,1.1595674,3.231781,4.581629,2.9431372,8.094863
